SKU;Цена WB без СПП;ЯМ min (коридор);ЯМ max (коридор);Цена Ozon;Расчет WB +2% без СПП;Расчет ЯМ (+2% от max);Расчет Ozon (+2%)
Т-34_BAD_60caps;784,75;;;950;800,45;;969
alteya_beauty_brows_box;825;665;700;1100;841,5;714;1122
alteya_young_skin_box;1525;1995;2100;2800;1555,5;2142;2856
b_kompleks_BAD_60tabl;419,72;;;637;428,11;;649,74
berberin_laif_BAD_60caps;1250;1335;1405;1388;1275;1433,1;1415,76
chudofrukt_BAD_60caps;309,2;;;534;315,38;;544,68
curly_method_300ml;1176,21;1045;1100;1488;1199,73;1122;1517,76
ekdisteron_ultra_man_60caps;1098,5;1169;1230;981;1120,47;1254,6;1000,62
enzim_pudra_80gr;745;;;779;759,9;;794,58
enzim_pudra_80gr_v2;960;684;720;1204;979,2;734,4;1228,08
frutaksa_BAD_200gr;745,2;;;868;760,1;;885,36
frutalika_BAD_60caps;565,08;;;498;576,38;;507,96
gel_antiakne_20ml;585;;;1450;596,7;;1479
gel_antiakne_20ml_v2;652,28;561;590;846;665,33;601,8;862,92
gel_brows_5ml;615;494;520;780;627,3;530,4;795,6
gel_dlya_britya_300ml;700;646;680;1050;714;693,6;1071
gel_dlya_brovei_6ml;399,84;418;440;650;407,84;448,8;663
gel_for_men_3_in_1_1000ml;813;570;600;1038;829,26;612;1058,76
gel_parfum_tabacco_vanille_450ml;589,96;580;610;910;601,76;622,2;928,2
gidrofilnoe_maslo_150ml;528;;;532;538,56;;542,64
glikiron_BAD_60caps;947,1;855;900;830;966,04;918;846,6
i_am_alpha_BAD_60caps;800;1235;1300;1150;816;1326;1173
indolakt_BAD_60caps;1095;1093;1150;1199;1116,9;1173;1222,98
insulight_BAD_60caps;1040,98;950;1000;1184;1061,8;1020;1207,68
intimvita_200ml;391,4;;;640;399,23;;652,8
intimvita_300ml;650,1;561;590;1080;663,1;601,8;1101,6
krem_buster_250ml;779,48;675;710;1358;795,07;724,2;1385,16
krem_dlya_ruk_75ml;562,02;523;550;782;573,26;561;797,64
krem_dlya_vek_30ml;1199,85;1045;1100;1842;1223,85;1122;1878,84
krem_ot_rastyazhek;910;1055;1110;1420;928,2;1132,2;1448,4
krem_spf50_50ml;1200,1;893;939;1710;1224,1;957,78;1744,2
krem-filler_15ml;0;;;30000;0;;30600
kremshelk_100ml;658,8;618;650;1105;671,98;663;1127,1
krovavii_piling_30ml;883,08;751;790;1185;900,74;805,8;1208,7
limfaks_BAD_30caps;1045,1;961;1011;977;1066;1031,22;996,54
maska_dlya_lica_100ml;7200;1140;1200;3800;7344;1224;3876
maska-batter_250ml;860,4;760;800;1407;877,61;816;1435,14
maska-batter_500ml;1690,5;1045;1099;1793;1724,31;1120,98;1828,86
maska-batter_dlya_rosta_500ml;960;732;770;1475;979,2;785,4;1504,5
maslo_dlya_borodi_50ml;604,35;675;710;1140;616,44;724,2;1162,8
maslo_dlya_volos_parf_110ml;215,25;;;1000;219,56;;1020
maslo_dlya_volos_parf_110ml_;780;;;962;795,6;;981,24
matte_wax_50ml;900;618;650;1170;918;663;1193,4
menoflavon_BAD_60caps;933,14;;;1302;951,8;;1328,04
monarda_30ml;75;;;545;76,5;;555,9
nabor_penka_dlya_resnic;936;703;740;990;954,72;754,8;1009,8
nabor_remuver_40ml;440;418;440;0;448,8;448,8;0
nabor_remuver_40ml_1_1;660;;;1150;673,2;;1173
nabor_remuver_kremovii;625,52;656;690;870;638,03;703,8;887,4
penka_160ml;717,6;;;810;731,95;;826,2
penka_kudryavii_metod_150ml;1334,16;941;990;1452;1360,84;1009,8;1481,04
piling_100ml;213,15;561;590;700;217,41;601,8;714
pink_pepper_50ml;840;732;770;1500;856,8;785,4;1530
pirantoks_BAD_60caps;470;;;827;479,4;;843,54
relaksinol_BAD_60caps;550,76;665;700;699;561,78;714;712,98
remuver_40ml;0;408;429;0;0;437,58;0
retiderm_50ml;1504;1050;1105;2146;1534,08;1127,1;2188,92
retinait_krem_01_50ml;1749,88;855;900;2825;1784,88;918;2881,5
retinait_krem_025_50ml;1625;912;959;2300;1657,5;978,18;2346
retinait_krem_05_50ml;1600;960;1010;2250;1632;1030,2;2295
retinait_krem_1_5_50ml;1960;1169;1230;2570;1999,2;1254,6;2621,4
retinait_krem_1_50ml;2270,25;1378;1450;3175;2315,66;1479;3238,5
retinait_syvorotka_025_30ml;1880;903;950;1684;1917,6;969;1717,68
retinait_syvorotka_05_30ml;1140;865;910;1485;1162,8;928,2;1514,7
retinait_syvorotka_1_30ml;1455,2;950;1000;2000;1484,3;1020;2040
retinol_boost_krem_dlya_vek_30ml;1471,46;1188;1250;1843;1500,89;1275;1879,86
Retinol_Full_Journey;6000;2755;2900;6000;6120;2958;6120
Retinol_Start_Kit;2500;2375;2500;4250;2550;2550;4335
revmastop_BAD_60caps;989;;;1500;1008,78;;1530
shampun_dlya_rosta_250ml;794,5;561;590;1089;810,39;601,8;1110,78
shampun_protiv_perhoti_250ml;825,55;608;640;1250;842,06;652,8;1275
silk_hair_300ml;903;665;700;1118;921,06;714;1140,36
skrab_babl_gam_200ml;795;656;690;1443;810,9;703,8;1471,86
solevoy_sprei_200ml;804;675;710;1193;820,08;724,2;1216,86
spicul_gel_mask_75ml;0;1045;1100;0;0;1122;0
spiculboost_30ml;2000;855;900;2000;2040;918;2040
sprei_buster_100ml;972,4;741;780;1407;991,85;795,6;1435,14
stik_ot_mozoley;266,4;;;910;271,73;;928,2
Strong_Hair;3000;1235;1300;3000;3060;1326;3060
syvorotka_dlya_lica_30ml;1494;;;2210;1523,88;;2254,2
syvorotka_dlya_lica_30ml_v2;0;855;900;1594;0;918;1625,88
syvorotka_dlya_rosta_6ml;800;;;721;816;;735,42
syvorotka_dlya_rosta_6ml_v2;899,85;523;550;960;917,85;561;979,2
syvorotka_guk_30ml;720;732;770;1001;734,4;785,4;1021,02
syvorotka_niacin_05_30ml;1260;893;940;1284;1285,2;958,8;1309,68
telomeras_60caps;2520;2261;2380;2355;2570,4;2427,6;2402,1
termo_sprei_200ml;810;513;540;1250;826,2;550,8;1275
tonik_dlya_lica_200ml;537,5;475;500;1500;548,25;510;1530
vosk_stik_15ml;716,8;475;500;1160;731,14;510;1183,2
