action;target_sku;platform;api_sku;status;note;api_revenue;api_units;api_name;all_platforms;first_date;last_date;suggested_target_sku;suggested_confidence;suggested_name;decision_comment
"";"";"ozon";"sustalit_75ml";"active";"API SKU without registry pair";"1308274";"2198";"sustalit_75ml";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"kavmaz";"active";"API SKU without registry pair";"867775";"1669";"kavmaz";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"sustalit_75ml";"active";"API SKU without registry pair";"708613";"839";"sustalit_75ml";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"trezvin";"active";"API SKU without registry pair";"654453";"1667";"trezvin";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"activeprost";"active";"API SKU without registry pair";"650049";"1464";"activeprost";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"uromax";"active";"API SKU without registry pair";"618036";"740";"uromax";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"kavmaz_60ml";"active";"API SKU without registry pair";"607198";"541";"kavmaz_60ml";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"vetonus";"active";"API SKU without registry pair";"550640";"1823";"vetonus";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"allicil_gribok15ml";"active";"API SKU without registry pair";"506663";"905";"allicil_gribok15ml";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"artoks";"active";"API SKU without registry pair";"505908";"605";"artoks";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"micardinforte";"active";"API SKU without registry pair";"498610";"1203";"micardinforte";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"artoks";"active";"API SKU without registry pair";"462046";"656";"artoks";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"uromax_1_1";"active";"API SKU without registry pair";"418154";"339";"uromax_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"kavmaz_60ml";"active";"API SKU without registry pair";"409060";"536";"kavmaz_60ml";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"uhovit";"active";"API SKU without registry pair";"408488";"367";"uhovit";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"kardicin_1_1_1";"active";"API SKU without registry pair";"404544";"259";"kardicin_1_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"wbmicelix";"active";"API SKU without registry pair";"382321";"1162";"wbmicelix";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"arterol_1_1_1";"active";"API SKU without registry pair";"376421";"287";"arterol_1_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"synergel_60ml";"active";"API SKU without registry pair";"365551";"554";"synergel_60ml";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"urinofix";"active";"API SKU without registry pair";"329142";"421";"urinofix";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"micardin_1_1";"active";"API SKU without registry pair";"317202";"262";"micardin_1_1";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"wbbiotrin_1_1_1";"active";"API SKU without registry pair";"313758";"219";"wbbiotrin_1_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"artoks_1_1";"active";"API SKU without registry pair";"306224";"254";"artoks_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"synergel_60ml";"active";"API SKU without registry pair";"288892";"321";"synergel_60ml";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"yagodniy_spas";"active";"API SKU without registry pair";"286490";"438";"yagodniy_spas";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"sanatsin";"active";"API SKU without registry pair";"283263";"506";"sanatsin";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"cardicin_BAD_60caps";"active";"API SKU without registry pair";"281360";"242";"cardicin_BAD_60caps";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"mycoplax";"active";"API SKU without registry pair";"251083";"340";"mycoplax";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"trezax";"active";"API SKU without registry pair";"249007";"404";"trezax";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"urofol";"active";"API SKU without registry pair";"230393";"383";"urofol";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"gemorekt";"active";"API SKU without registry pair";"215522";"390";"gemorekt";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"cardicin_bad_60caps";"active";"API SKU without registry pair";"210048";"157";"cardicin_bad_60caps";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"kavmaz";"active";"API SKU without registry pair";"205078";"257";"kavmaz";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"wbsinergel";"active";"API SKU without registry pair";"203839";"309";"wbsinergel";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"kinzhal";"active";"API SKU without registry pair";"202010";"271";"kinzhal";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"sanatsin_1_1";"active";"API SKU without registry pair";"199503";"242";"sanatsin_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"urolgan";"active";"API SKU without registry pair";"194602";"479";"urolgan";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"kardicin_1_1";"active";"API SKU without registry pair";"190634";"204";"kardicin_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"ekzifol";"active";"API SKU without registry pair";"175455";"265";"ekzifol";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"micolan";"active";"API SKU without registry pair";"165595";"441";"micolan";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"vetonus_100ml";"active";"API SKU without registry pair";"164453";"393";"vetonus_100ml";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"sustalit";"active";"API SKU without registry pair";"151514";"212";"sustalit";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"sanatsin";"active";"API SKU without registry pair";"149498";"192";"sanatsin";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"mycoplax";"active";"API SKU without registry pair";"148190";"292";"mycoplax";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"pantogor_100ml";"active";"API SKU without registry pair";"148035";"181";"pantogor_100ml";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"kinzhal_1_1";"active";"API SKU without registry pair";"147577";"145";"kinzhal_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"artoks_75ml";"active";"API SKU without registry pair";"145102";"158";"artoks_75ml";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"oftalmol";"active";"API SKU without registry pair";"144449";"214";"oftalmol";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"otivin";"active";"API SKU without registry pair";"140874";"232";"otivin";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"kavmaz_40ml_1_1";"active";"API SKU without registry pair";"140497";"108";"kavmaz_40ml_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"wbmicardinforte";"active";"API SKU without registry pair";"140382";"216";"wbmicardinforte";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"micardin";"active";"API SKU without registry pair";"130478";"215";"micardin";"wb";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"pantogor_100ml";"active";"API SKU without registry pair";"121896";"112";"pantogor_100ml";"wb";"2026-05-01";"2026-05-25";"";"";"";""
"";"";"ozon";"dardrakona_1_1";"active";"API SKU without registry pair";"116397";"175";"dardrakona_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"urinofix";"active";"API SKU without registry pair";"112571";"166";"urinofix";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"wboptitrin";"active";"API SKU without registry pair";"111951";"330";"wboptitrin";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"yagodniy_spas_1_1";"active";"API SKU without registry pair";"111848";"88";"yagodniy_spas_1_1";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"wbsinergel";"active";"API SKU without registry pair";"111724";"209";"wbsinergel";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"ozon";"sustalit";"active";"API SKU without registry pair";"111551";"183";"sustalit";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
"";"";"wb";"sinergel_30ml_1_1";"active";"API SKU without registry pair";"106884";"76";"sinergel_30ml_1_1";"wb";"2026-05-01";"2026-05-27";"";"";"";""
"";"";"ozon";"brutalax";"active";"API SKU without registry pair";"106865";"327";"brutalax";"ozon";"2026-05-01";"2026-05-28";"";"";"";""
