severity;type;dataset;platform;place;articleKey;name;revenue;units;message
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"trezvin";"trezvin";"745369";"1927";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"wbmicelix";"wbmicelix";"479788";"1482";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"uhovit";"uhovit";"434664";"394";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"kardicin_1_1_1";"kardicin_1_1_1";"427245";"272";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"arterol_1_1_1";"arterol_1_1_1";"399820";"306";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"yagodniy_spas";"yagodniy_spas";"303031";"462";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"trezax";"trezax";"257623";"416";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"urofol";"urofol";"248874";"413";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"insulight_1_1";"insulight_1_1";"247897";"212";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"kinzhal";"kinzhal";"230792";"310";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"kardicin_1_1";"kardicin_1_1";"203559";"215";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"micolan";"micolan";"168405";"446";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"kinzhal_1_1";"kinzhal_1_1";"162549";"159";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"oftalmol";"oftalmol";"161123";"242";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"wboptitrin";"wboptitrin";"140903";"417";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"brutalax";"brutalax";"117999";"365";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"yagodniy_spas_1_1";"yagodniy_spas_1_1";"116498";"91";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"chudogrib";"chudogrib";"104190";"140";"API SKU не найден в skus.json/алиасах"
"critical";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"arterol";"arterol";"101140";"170";"API SKU не найден в skus.json/алиасах"
"warning";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"glukofol";"glukofol";"88231";"437";"API SKU не найден в skus.json/алиасах"
"warning";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"wbbiotrin_1_1";"wbbiotrin_1_1";"84590";"81";"API SKU не найден в skus.json/алиасах"
"warning";"api_sku_unmapped";"platform_trends.extraMarketplace";"ozon";"";"okospas";"okospas";"75230";"123";"API SKU не найден в skus.json/алиасах"
