target_sku;platform;api_sku;status;note;api_revenue;api_units;api_name;all_platforms;source_modes;first_date;last_date
"";"ozon";"sustalit_75ml";"active";"API without registry pair; Ozon";"799420";"1471";"sustalit_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"kavmaz";"active";"API without registry pair; Ozon";"467452";"927";"kavmaz";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"uromax";"active";"API without registry pair; Ozon";"318419";"440";"uromax";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"activeprost";"active";"API without registry pair; Ozon";"316067";"706";"activeprost";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"artoks";"active";"API without registry pair; Ozon";"298757";"436";"artoks";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"sustalit_75ml";"active";"API without registry pair; WB";"293717";"348";"sustalit_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"kavmaz_60ml";"active";"API without registry pair; WB";"282552";"245";"kavmaz_60ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"vetonus";"active";"API without registry pair; Ozon";"279615";"950";"vetonus";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"artoks";"active";"API without registry pair; WB";"258929";"303";"artoks";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"trezvin";"active";"API without registry pair; Ozon";"246981";"502";"trezvin";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
